Trans. Date,Post Date,Description,Amount,Category,Notes
1/28/2021,1/28/2021,ALDI 60098 MIDDLETOWN DE,80.06,Supermarkets,Jessie Grocery
1/26/2021,1/26/2021,C-TOWN LIQUORS AND DELI CHESTERTOWN MD,36.51,Merchandise,Drank
1/23/2021,1/23/2021,INTERNET PAYMENT - THANK YOU,-400,Payments and Credits,
1/23/2021,1/23/2021,LEWES DAIRY MARKET CHESTERTOWN MD,38.48,Gasoline,
1/17/2021,1/17/2021,POPEYES 13420 MIDDLETOWN DE,8.48,Restaurants,
1/17/2021,1/17/2021,PTC EZPASS CSC WEB IVR 877-736-6727 PA,38,Travel/ Entertainment,EZPASS
1/16/2021,1/16/2021,ADVANCE AUTO PARTS #5485 LEHIGHTON PA,10.59,Automotive,
1/16/2021,1/16/2021,AUTOZONE 4688 LEHIGHTON PA,6.35,Automotive,
1/16/2021,1/16/2021,MARZEN FEED LEHIGHTON PA,31.25,Home Improvement,Parents
1/16/2021,1/16/2021,SUPER GOMAS 2 LEHIGHTON PA,83.6,Automotive,
1/14/2021,1/14/2021,MCDONALD'S F11503 TAMAQUA PA,4.99,Restaurants,
1/13/2021,1/13/2021,BURGER KING #3057 Q07 LEHIGHTON PA,7.9,Restaurants,
1/13/2021,1/13/2021,HIGHLAND BEVERAGE JIM THORPE PA,12.35,Merchandise,Drank
1/13/2021,1/13/2021,JOKERS GAMING CAFE LLC LEHIGHTN PA,11.13,Restaurants,
1/11/2021,1/11/2021,ARBYS 7108 OREFIELD PA,3.49,Restaurants,
1/11/2021,1/11/2021,MCDONALD'S F5162 LEHIGHTON PA,8.03,Restaurants,
1/11/2021,1/11/2021,WANIKANI JAPANESE LANG 5038416321 OR,9,Merchandise,
1/8/2021,1/10/2021,CHICK-FIL-A #03014 MIDDLETOWN DE,18.53,Restaurants,
