Trans. Date,Description,Amount,Category,Notes
1/21/2021,MRRI,949.91,Deposit,
1/7/2021,MRRI,987.17,Deposit,
12/28/2021,Venmo,70.00,Transfer,Dank
12/30/2021,ATM,80.00,Transfer,Cash
1/6/2021,CashApp,95.00,Transfer,Dank
1/19/2021,Ikea,227.91,Home Improvement,Jessie House
1/25/2021,Venmo,40.00,Transfer,Dank
12/30/2021,Nationwide,54.56,Insurance,
12/31/2021,Discover,400.00,Credit,
12/31/2021,Firstmark,375.66,Loans,
1/5/2021,Discover,519.29,Loans,
1/7/2021,Paypal,7.13,Transfer,XCOM2WOTC
1/22/2021,Paypal,30.73,Transfer,NAPA Mirror
1/25/2021,Discover,400.00,Credit,
1/25/2021,Paypal,11.34,Transfer,Hollow Knight
1/4/2021,Govt,600.00,Deposit,
